DefaultSC.TDBModJulian    DefaultSC.MoonMJ2000Eq.X   DefaultSC.MoonMJ2000Eq.Y   DefaultSC.MoonMJ2000Eq.Z   DefaultSC.MoonMJ2000Eq.VX   DefaultSC.MoonMJ2000Eq.VY   DefaultSC.MoonMJ2000Eq.VZ   
30059.50313872169         102.862003543245           5802.498041022161          -7700.173745718261         0.4675131450481288          -0.006983006141316778       0.009277957674067847        
30059.50325446244         107.5371063532766          5802.426623807754          -7700.078857377783         0.4675073742755533          -0.007300437198864744       0.009699711030893281        
30059.50337020318         112.2121501750771          5802.352032268594          -7699.979751485167         0.467501347399335           -0.007617871131870138       0.01012146813146625         
30059.50348594392         116.8871324475404          5802.274266375171          -7699.876428002113         0.4674950644058924          -0.007935308064053303       0.01054322913934951         
30059.50360168466         121.5620506094237          5802.193326096865          -7699.768886888807         0.4674885252810649          -0.008252748119139029       0.01096499421811172         
30059.5037174254          126.236902099341           5802.109211401956          -7699.657128103659         0.4674817300101127          -0.00857019142085674        0.01138676353132778         
30059.50383316614         130.9116843557549          5802.021922257263          -7699.541151603509         0.4674746785777166          -0.008887638092940655       0.01180853724257896         
30059.50394890688         135.5863948169717          5801.931458628445          -7699.420957343595         0.4674673709679774          -0.00920508825913002        0.01223031551545326         
30059.50406464762         140.2610309211341          5801.837820479996          -7699.296545277466         0.4674598071644172          -0.009522542043169258       0.01265209851354555         
30059.50418038836         144.9355901062227          5801.741007775126          -7699.167915357015         0.4674519871499773          -0.009839999568808159       0.0130738864004579          
30059.5042961291          149.6100698100399          5801.641020475712          -7699.03506753259          0.4674439109070201          -0.01015746095980209        0.01349567933979977         
30059.50441186985         154.2844674702083          5801.537858542579          -7698.898001752852         0.4674355784173274          -0.01047492633991213        0.01391747749518828         
30059.50452761058         158.9587805241681          5801.431521935214          -7698.756717964774         0.4674269896621014          -0.01079239583290532        0.01433928103024844         
30059.50464335133         163.6330064091671          5801.322010611824          -7698.611216113757         0.4674181446219643          -0.01110986956255481        0.01476109010861344         
30059.50475909207         168.3071425622566          5801.209324529453          -7698.461496143573         0.4674090432769575          -0.01142734765264004        0.01518290489392483         
30059.50487483281         172.9811864202875          5801.093463643803          -7698.307557996304         0.4673996856065429          -0.01174483022694695        0.0156047255498328          
30059.50499057355         177.6551354199             5800.974427909532          -7698.149401612463         0.4673900715896009          -0.01206231740926814        0.01602655223999642         
30059.50510631429         182.3289869975197          5800.85221727984           -7697.987026930845         0.4673802012044322          -0.01237980932340309        0.01644838512808393         
30059.50522205503         187.0027385893536          5800.726831706881          -7697.820433888701         0.4673700744287564          -0.01269730609315832        0.01687022437777287         
30059.50533779577         191.6763876313835          5800.598271141411          -7697.649622421537         0.4673596912397122          -0.01301480784234756        0.01729207015275047         
30059.50545353651         196.3499315593581          5800.466535533022          -7697.474592463346         0.4673490516138574          -0.01333231469479197        0.01771392261671377         
30059.50556927725         201.0233678087916          5800.331624830083          -7697.295343946374         0.4673381555271688          -0.01364982677432032        0.01813578193336993         
30059.50568501799         205.6966938149508          5800.193538979685          -7697.111876801297         0.4673270029550418          -0.01396734420476917        0.01855764826643649         
30059.50580075873         210.3699070128569          5800.052277927753          -7696.924190957099         0.4673155938722907          -0.01428486710998303        0.01897952177964157         
30059.50591649947         215.0430048372746          5799.907841618813          -7696.732286341226         0.4673039282531479          -0.0146023956138146         0.01940140263672412         
30059.50603224021         219.7159847227103          5799.760229996406          -7696.536162879347         0.4672920060712641          -0.01491992984012491        0.01982329100143423         
30059.50614798096         224.3888441034014          5799.609443002555          -7696.335820495617         0.4672798272997086          -0.01523746991278352        0.02024518703753325         
