Khon5.A1ModJulian         Khon5.CRTBP.X             Khon5.CRTBP.Y             Khon5.CRTBP.Z             Khon5.CRTBP.VX            Khon5.CRTBP.VY            Khon5.CRTBP.VZ            
31439.80680399511         -64432.8645299717         12441.5079589391          -59328.30879250764        -0.02605326543211468      0.1083515451723599        0.1157930463429249        
31439.83805399511         -64504.12419389015        12733.86474746942         -59012.09391141984        -0.02673222021057509      0.1082594916307787        0.1184495662005438        
31439.86930399511         -64577.22151207469        13025.97303771472         -58688.718007549          -0.02741450061585086      0.1081671557493592        0.1210977050342159        
31439.90055399511         -64652.16554389997        13317.83204576359         -58358.20406154495        -0.02810016634145963      0.1080745113570153        0.1237371996676846        
31439.93180399511         -64728.9655124787         13609.4409156447          -58020.57577266007        -0.0287892790350461       0.1079815321528249        0.1263677808987747        
31439.96305399511         -64807.63081023212        13900.79872118475         -57675.85757521314        -0.02948190246218896      0.1078881918291131        0.128989173356834         
31439.99430399511         -64888.17100475782        14191.9044641129          -57324.07465543351        -0.03017810267584296      0.1077944642025031        0.1316010953635582        
31440.02555399511         -64970.59584532563        14482.75707662543         -56965.2529686761         -0.03087794819531638      0.1077003233527118        0.134203258797729         
31440.05680399511         -65054.91526970201        14773.35542024149         -56599.41925699566        -0.03158151019110184      0.1076057437698683        0.1367953689644145        
31440.08805399511         -65141.13941165436        15063.69828916218         -56226.60106706788        -0.03228886267938544      0.1075107005101429        0.139377124469246         
31440.11930399511         -65229.27860882703        15353.78441022413         -55846.82676844154        -0.03300008272265085      0.1074151693604199        0.1419482170983879        
31440.15055399511         -65319.34341127996        15643.61244586845         -55460.12557210712        -0.03371525063930959      0.1073191270118981        0.1445083317048914        
31440.18180399511         -65411.34459060746        15933.18099758997         -55066.52754936243        -0.03443445022118679      0.1072225512429691        0.1470571461021284        
31440.21305399511         -65505.29314953387        16222.48860733697         -54666.06365095566        -0.03515776895762637      0.1071254211118502        0.1495943309650702        
31440.24430399511         -65601.20033230804        16511.53376327852         -54258.76572648376        -0.03588529826906377      0.1070277171586584        0.152119549740188         
31440.27555399511         -65699.07763553856        16800.31490204162         -53844.66654402128        -0.03661713374631099      0.106929421617742         0.1546324585648109        
31440.30680399511         -65798.93681988998        17088.83041562372         -53423.79980995289        -0.03735337539911389      0.106830518639783         0.1571327061967999        
31440.33805399511         -65900.78992225003        17377.07865483104         -52996.20018898172        -0.03809412791004063      0.1067309945244618        0.1596199339554379        
31440.36930399511         -66004.64926880735        17665.05793744612         -52561.90332428044        -0.03883950089713737      0.106630837963132         0.1620937756744751        
31440.40055399511         -66110.52748862645        17952.76655297864         -52120.94585775183        -0.0395896091813283       0.106530040292233         0.1645538576682865        
31440.43180399511         -66218.43752817823        18240.20277219957         -51673.36545036166        -0.04034457306185803      0.106428595756816         0.1669997987121493        
31440.46305399511         -66328.39266639295        18527.36485331701         -51219.20080250552        -0.04110451859565634      0.1063265017848388        0.1694312100376484        
31440.49430399511         -66440.40653070837        18814.25105298994         -50758.49167436523        -0.04186957788376947      0.1062237592715013        0.1718476953442749        
31440.52555399511         -66554.49311365896        19100.85963404136         -50291.2789062117         -0.0426398893605418       0.1061203728742454        0.1742488508282659        
