Orbiter.MoonInertial.X    Orbiter.MoonInertial.Y    Orbiter.MoonInertial.Z    Orbiter.MoonInertial.VX   Orbiter.MoonInertial.VY   Orbiter.MoonInertial.VZ   Luna.MoonInertial.X       Luna.MoonInertial.Y       Luna.MoonInertial.Z       Earth.MoonInertial.X      Earth.MoonInertial.Y      Earth.MoonInertial.Z      Sun.MoonInertial.X        Sun.MoonInertial.Y        Sun.MoonInertial.Z        Orbiter.Propagator1_ForceModel.AccelerationX   Orbiter.Propagator1_ForceModel.AccelerationY   Orbiter.Propagator1_ForceModel.AccelerationZ   Orbiter.ElapsedSecs       
1566.360978055294         -0.09015466657001525      -924.0033750052971        0.8959903959968463        -8.316472488201221e-05    1.398539410294275         0                         0                         0                         -74877.33841301623        327456.2691390609         178842.7590978313         62980225.4734545          126774474.8925847         54991066.1862342          -0.001276722267452084                          3.480570978679898e-07                          0.0007536516323381211                          1106.689938087948         
1614.593235915847         -0.09490385721437633      -844.4060011154215        0.8234548675960203        -8.614191307504404e-05    1.438899658606205         0                         0                         0                         -74933.81157886994        327443.9115150936         178837.4593383045         62978827.77247341         126775041.3739469         54991311.8128736          -0.001308663358211155                          3.553434372552694e-07                          0.0006848167682295746                          1162.782317341771         
1656.872130007541         -0.09960210608551279      -766.2598737890658        0.7525015212477211        -8.912110413966667e-05    1.47386828705005          0                         0                         0                         -74987.82075745845        327432.0856956855         178832.3868197813         62977282.15186241         126775673.2713415         54991585.79404307         -0.001335532002047806                          3.724114297849762e-07                          0.0006180487033552177                          1216.42897836864          
1692.36310394718          -0.1040987669257447       -692.8165528869722        0.6860432330781907        -9.375911406259152e-05    1.502846582269563         0                         0                         0                         -75037.48944558692        327421.2039046417         178827.7185115665         62975805.90131153         126776278.0312898         54991848.00612772         -0.001357155628947701                          4.226455966281312e-07                          0.0005558537917181066                          1265.76571224723          
1723.180685542786         -0.1087195994914509       -621.3941172314808        0.6216266051690666        -0.0001034906620440423    1.527645709052176         0                         0                         0                         -75084.93378870873        327410.8037461491         178823.2561830704         62974446.47935663         126776833.8005642         54992088.97797999         -0.001374843132081035                          4.698381190908702e-07                          0.000495919970717084                           1312.894247355871         
1750.316928091168         -0.1138355855364352       -550.6123016690544        0.5579999123671213        -0.0001200640507827144    1.549119153744244         0                         0                         0                         -75131.24464352631        327400.6466908049         178818.8975569924         62973146.90652046         126777364.4616042         54992319.06374956         -0.001389405935220725                          5.002577790329159e-07                          0.0004371957412352677                          1358.898045681417         
1774.301755995184         -0.1197923245490529       -479.5706302967446        0.4943556289374653        -0.0001419864340306276    1.567718419470755         0                         0                         0                         -75177.12691868903        327390.5784047215         178814.5764353985         62971877.66657039         126777882.2943648         54992543.58749617         -0.001401311608382852                          4.839701452077868e-07                          0.0003788984424132873                          1404.477282590233         
1795.419684548819         -0.1268324631964788       -407.5752120637044        0.4300852998930169        -0.0001663439657895449    1.583686895677197         0                         0                         0                         -75223.11401097594        327380.4818955284         178810.2426135009         62970619.60693729         126778395.2169904         54992765.98224291         -0.001410770093384237                          4.291789639952876e-07                          0.0003204387979383766                          1450.161820300855         
1813.656268679842         -0.135010888800025        -334.6330808473867        0.3651993098367683        -0.0001899178473996899    1.597034814651678         0                         0                         0                         -75269.27522446019        327370.3418993792         178805.8895340475         62969358.56793189         126778909.294461          54992988.87721548         -0.001417799740667002                          3.951017242064225e-07                          0.0002618040740063173                          1496.02051845286          
1829.17690374222          -0.1443750245962292       -259.7109283487371        0.2987799832408742        -0.000209748363169171     1.607879043433891         0                         0                         0                         -75316.33014087938        327360.0001652013         178801.4492394737         62968091.99875779         126779425.1585787         54993212.54694416         -0.001422432934721806                          3.670918980042036e-07                          0.0002021794694669822                          1542.768285283819         
1842.033236987772         -0.1549491629120894       -181.2325666821271        0.2294557626662264        -0.0002235090752461533    1.616208154944593         0                         0                         0                         -75365.32357180884        327349.2265656998         178796.8228670558         62966799.84296762         126779950.7820822         54993440.44850554         -0.00142458740580761                           3.079235923930752e-07                          0.0001404052397313799                          1591.443225578405         
1851.962606405068         -0.1666839308454655       -97.81850041734288        0.1560548266121435        -0.0002311245339144674    1.621750044909197         0                         0                         0                         -75417.17291402756        327337.8184889902         178791.92331321           62965453.57638671         126780497.8729143         54993677.65801743         -0.001424022891349568                          2.400050581131593e-07                          7.549180860171362e-05                          1642.956971260719         
1858.512238828072         -0.1798697906779125       -6.021584099245956        0.07561366425280913       -0.0002345974683286844    1.623994979518431         0                         0                         0                         -75474.09245789323        327325.2871919705         178786.5404984226         62964026.74076792         126781076.4007681         54993928.49912974         -0.00142006907816334                           1.742257765840463e-07                          4.803278584291459e-06                          1699.509831005707         
1860.476504363294         -0.1944351288839243       94.53680043059285         -0.01210634079922401      -0.0002352198995364818    1.62189782519326          0                         0                         0                         -75536.43734920307        327311.5522643523         178780.6396333342         62962460.46619773         126781711.5282082         54994203.87987555         -0.001411639504343758                          1.300693612234486e-07                          -7.168935081493424e-05                         1761.45516615361          
1857.010385834306         -0.2089956377167255       195.0712135739741         -0.09939169124464153      -0.0002332830593917423    1.6150845970926           0                         0                         0                         -75598.9368937507         327297.773613874          178774.7189023489         62960750.62417369         126782408.465204          54994506.05414262         -0.001399083306087262                          1.09830091347963e-07                           -0.0001470226215688655                         1823.556346865371         
