Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   Orbiter4.MoonInertial.X   Orbiter4.MoonInertial.Y   Orbiter4.MoonInertial.Z   Orbiter5.MoonInertial.X   Orbiter5.MoonInertial.Y   Orbiter5.MoonInertial.Z   Orbiter6.MoonInertial.X   Orbiter6.MoonInertial.Y   Orbiter6.MoonInertial.Z   
-2292.162777442936        1087.978768354107         1625.013854468707         -2715.972682948035        -5296.478174448595        -7911.651255447476        3771.308341137308         -4702.38606360968         -7024.191415827227        2292.26104026036          -1088.040004574228        1625.22267560754          2716.002597060447         5296.338366091601         -7911.571399734356        -3771.277775903465        4702.253383774543         -7024.088637570181        
-2372.520165610913        1060.159824993811         1583.444805763662         -2692.467060788476        -5306.345902362547        -7926.380029285327        3791.610614432895         -4687.622937368171        -7002.125959296216        2372.629673232586         -1060.224913749844        1583.666392396495         2692.499539745841         5306.194093621918         -7926.293260161066        -3791.577452536207        4687.479092091438         -7002.014467144065        
-2451.391615536981        1031.67695674469          1540.88377530771          -2668.912447946655        -5316.117813277524        -7940.965192350995        3811.828085287445         -4672.75534725812         -6979.903959142481        2451.512920876063         -1031.745889438433        1541.118077212217         2668.947598431434         5315.953501498618         -7940.871212369879        -3811.792220464326        4672.599895729858         -6979.783400268876        
-2528.773290372235        1002.567176250101         1497.386073985894         -2645.309425605854        -5325.794037654065        -7955.406938628788        3831.959855052788         -4657.783078782901        -6957.525096363242        2528.906928488621         -1002.639938361361        1497.633018975641         2645.347354392376         5325.616719210579         -7955.30544905804         -3831.921180889418        4657.615581371239         -6957.395118044078        
-2604.664295541865        972.8664630831918         1453.005468267686         -2621.658570971995        -5335.374704500253        -7969.705459949153        3852.005015971605         -4642.705915600876        -6934.989049224387        2604.810784221278         -972.9430351046612        1453.264965021634         2621.699384920488         5335.183874797891         -7969.59616075849         -3851.963425885813        4642.525933853234         -6934.849298823596        
-2679.066436214664        942.6097082109773         1407.794097288221         -2597.960457335983        -5344.85994137841         -7983.860945998371        3871.962651026945         -4627.523639518884        -6912.295493250538        2679.226276662332         -942.6900664581917        1408.066037860553         2598.004263386872         5344.655094858259         -7983.743535849586        -3871.918038249423        4627.330736162839         -6912.145618205861        
-2751.983981817204        911.8306719101965         1361.80241003196          -2574.215654135303        -5354.249874411733        -7997.873584328423        3891.831833789009         -4612.236030485481        -6889.444101215486        2752.157659423596         -911.9147892300971        1362.086672079109         2574.262559303621         5354.030504553928         -7997.747760564933        -3891.784091343958        4612.029769429821         -6889.283749024267        
-2823.423439185673        880.5619538391475         1315.079120679962         -2550.424727014659        -5363.544628290925        -8011.743560366711        3911.611628258892         -4596.842866584309        -6866.434543132782        2823.611424337782         -880.6498002354056        1315.375569437485         2550.474838384718         5363.310227617563         -8011.609019002994        -3911.560648944011        4596.622812920366         -6866.263361337507        
-2893.393335579429        848.8349739865516         1267.671180206584         -2526.588237885851        -5372.744326280314        -8025.471057425544        3931.301088709428         -4581.343924028275        -6843.266486246488        2893.59608450107          -848.9265171744628        1267.979670243803         2526.641662606024         5372.49438635906          -8025.327493136574        -3931.24676507531         4581.109644030686         -6843.084122420376        
-2961.90401245137         816.6799632549519         1219.623762370815         -2502.706744986732        -5381.849090224714        -8039.056256711745        3950.899259523008         -4565.738977152738        -6819.939595022326        2962.121968061037         -816.7751691556186        1219.944139144383         2502.763590264483         5381.583101671771         -8038.903362822486        -3950.841483851866        4565.490038280957         -6819.745696754806        
-3028.967430580626        784.125962494174          1170.980262327968         -2478.780802939436        -5390.859040555311        -8052.499337336019        3970.405175026201         -4550.027798410039        -6796.453531138803        3029.201023357804         -784.2247956729843        1171.312363552919         2478.841176036512         5390.576493038679         -8052.336805810744        -3970.34383930995         4549.763769309269         -6796.247746021021        
-3094.596986922465        751.2008288647048         1121.782306190842         -2454.810962807736        -5399.774296296178        -8065.8004763223          3989.817859321294         -4534.210158363334        -6772.80795347903         3094.846635773734         -751.3032529177726        1122.125963042956         2454.874971035519         5399.474678538681         -8065.62799775388         -3989.752855238883        4533.93060886598          -6772.589929089067        
-3158.807343317836        717.9312484895345         1072.069769981666         -2430.797772153688        -5408.594975070504        -8078.959848617058        4009.136326114443         -4518.285825681058        -6749.002518122434        3159.073456433922         -718.0372263800818        1072.424808144016         2430.865522868786         5408.277774852642         -8078.777112216281        -4009.067545008656        4517.990326807892         -6748.771902010747        
-3221.614267026278        684.3427544314764         1021.880806537374         -2406.741775093469        -5417.321193106647        -8091.977627098328        4028.359578540621         -4502.254567131749        -6725.036878336978        3221.897242720821         -684.4522487784852        1022.247047103359         2406.813375693397         5416.985897269798         -8091.784320683102        -4028.286911393938        4501.942691093194         -6724.793318011507        
-3283.034482900825        650.4597491182503         971.2518790563045         -2382.643512352486        -5425.953065244306        -8104.853982584871        4047.486608985055         -4486.116147578286        -6700.910684571718        3283.334710422016         -650.5727224395378        971.6291393004358         2382.719070271618         5425.599159693229         -8104.649792569428        -4047.409946394968        4485.787467775983         -6700.653827483125        
-3343.085536906045        616.3055304197478         920.2178000977146         -2358.50352131977         -5434.490704940399        -8117.589083845058        4066.516398901105         -4469.870329973579        -6676.62358444967         3343.403397212693         -616.4219453319674        920.6058941260562         2358.583144025382         5434.117674646259         -8117.373695229122        -4066.435631054643        4469.524421001726         -6676.353077976382        
-3401.785670590136        581.9023206633283         868.8117749678495         -2334.322336101555        -5442.934224275174        -8130.183097605739        4085.447918624763         -4453.516875355213        -6652.175222760998        3402.121537085011         -582.0221400426817        869.2105142603978         2334.406131090145         5442.541553278279         -8129.956193963648        -4085.362935272191        4453.153313002083         -6651.890714194364        
-3459.153706053243        547.2712979524513         817.0654485434934         -2310.100487574324        -5451.283733958087        -8142.636188561126        4104.280127185222         -4437.055542841495        -6627.565241456818        3459.507945267775         -547.3944850595435        817.4746424004552         2310.188562368028         5450.870905370393         -8142.397452030767        -4104.190817613067        4436.673904090887         -6627.266377985885        
-3515.208940905897        512.4326292264741         765.0089546949603         -2285.838503437           -5459.53934333357         -8154.948519381316        4123.011972111883         -4420.486089626909        -6602.793279643054        3515.581913132031         -512.5591478000861        765.428410598659          2285.930965580192         5459.105839341413         -8154.697630653303        -4122.918225115049        4420.085952660011         -6602.479708339641        
-3569.971052678869        477.4055045705172         712.670967573591          -2261.536908262598        -5467.701160386845        -8167.120250721026        4141.642389237386         -4403.808270978334        -6577.858973575087        3570.363112545485         -477.5353188946028        713.1004914779041         2261.633865318669         5467.246462253272         -8166.85688902752         -4141.544093090546        4403.389215175295         -6577.530341378588        
-3623.46001212782         442.2081723478623         660.078754125454          -2237.196223549065        -5475.769291749515        -8179.15154122797         4160.170302496772         -4387.021840231493        -6552.761956652685        3623.871509120712         -442.3412472960772        660.5181506834633         2237.297783097427         5475.292879817076         -8178.875384331652        -4160.067344924872        4386.583446173114         -6552.417910354881        
-3675.696004869227        406.8579747856129         607.2582272806903         -2212.816967769628        -5483.743842705444        -8191.042547551333        4178.594623722543         -4370.126548787637        -6527.501859415439        3676.127283794936         -406.9942758478574        607.7073000210803         2212.923237402807         5483.245196398289         -8190.753271734226        -4178.48689187046         4369.668398257345         -6527.142045645305        
-3726.699360786282        371.3713836990646         554.2339993478381         -2188.399656422407        -5491.624917196052        -8202.793424349948        4196.914252435628         -4353.122146110632        -6502.078309538862        3727.150762181322         -371.5108769943472        554.6925508088025         2188.510743743347         5491.103515022376         -8202.490704402328        -4196.801632836985        4352.64382209623          -6501.702374747139        
-3776.490490653232        335.7640360875521         501.0294352140336         -2163.944802079452        -5499.412617825961        -8214.404324300704        4215.128075632092         -4336.008379724401        -6476.490931830864        3776.962351141367         -335.9066883662017        501.4972670435091         2164.060814698998         5498.867937380448         -8214.087833509722        -4215.0104541771          4335.509466420219         -6476.098522274813        
-3825.08982944228         300.0507693778491         447.6667050174437         -2139.452914435125        -5507.107045868644        -8225.875398106436        4233.23496756544          -4318.78499521059         -6450.739348228788        3825.582482042752         -300.1965480169165        448.1436180466553         2139.573959969668         5506.538563834329         -8225.544808244944        -4233.112229467908        4318.2650780197           -6450.33010995682         
-3872.517785796546        264.2456561296713         394.1668360146286         -2114.924500353954        -5514.708301271254        -8237.206794504105        4251.233789524616         -4301.451736207178        -6424.823177797341        3873.031560187155         -264.3945291240816        394.6526303111168         2115.05068642323          5514.115493421967         -8236.861775819212        -4251.105819287899        4300.910401743313         -6424.396756633505        
-3918.794697175341        228.362038052117          340.5497634163185         -2090.360063917833        -5522.2164826605          -8248.398660272564        4269.123389607208         -4284.008344406728        -6398.74203672685         3919.329919914278         -228.5139740034938        341.0442383220652         2090.491498142917         5521.598823862849         -8248.038881474349        -4268.990070989355        4283.445180496783         -6398.298078255408        
-3963.940790203313        192.4125592083437         286.8343800102302         -2065.760106472721        -5529.631687347603        -8259.451140240533        4286.902602488204         -4266.454559555685        -6372.495538332354        3964.497784913736         -192.5675273141242        287.3373341691622         2065.896896474151         5528.988651563006         -8259.076268490491        -4286.763818465974        4265.869155241991         -6372.0336878823          
-4007.976145780485        156.4091983136605         233.0385844272678         -2041.125126674713        -5536.954011333524        -8270.364377294201        4304.570249183846         -4248.790119453974        -6346.083293053409        4008.555233302046         -156.5671683573164        233.5498158057162         2041.267380070829         5536.285071620194         -8269.974078193773        -4304.425881915769        4248.182064996858         -6345.603195682896        
-4050.920668537743        120.3633000528207         179.179327942169          -2016.455620535562        -5544.183549314097        -8281.138512384874        4322.1251368105           -4231.014759954996        -6319.504908454575        4051.522167048912         -120.5242423966993        179.6986338453426         2016.603444940993         5543.488177828956         -8280.732449963922        -4321.97506759892         4230.383646835457         -6319.006208935345        
-4092.79406024862         84.28560536337318         125.2726597278961         -1991.752081467785        -5551.320394685143        -8291.773684536514        4339.566058338693         -4213.128214966215        -6292.759989226819        4093.418285363601         -84.44949094485492        125.7998368144326         1991.905584492037         5550.598062685633         -8291.351521241624        -4339.410167590657        4212.473635888658         -6292.242332028633        
-4133.615796835133        48.18628064729273         71.33377050826675         -1967.015000329033        -5558.364639547304        -8302.270030853222        4356.891792341703         -4195.130216450314        -6265.848137189576        4134.26306167891          -48.35308097867528        71.8686148050183          1967.174289575385         5557.614817393071         -8301.83142753609         -4356.729959528893        4194.45176534541          -6265.311166464642        
-4173.405108631399        12.07494588830741         17.37703457480529         -1942.244865466171        -5565.31637471111         -8312.627686526452        4374.101102739151         -4177.020494427008        -6238.768951293925        4174.07572389608          -12.24463306076359        17.91934149267036         1942.410048530597         5564.538531865925         -8312.172302432125        -4373.933206356582        4176.317766454769         -6238.212310861243        
-4212.180963593521        -24.03929833637085        -36.58394984900951        -1917.442162758656        -5572.175689701689        -8322.846784842375        4391.192738534926         -4158.798776975367        -6211.522027626401        4212.875237578977         23.8667516442365          -36.03438549680868        1917.613347229009         5571.369294735021         -8322.37427759741         -4391.018656058557        4158.071368528239         -6210.945360956131        
-4249.962053168652        -60.14784495078493        -90.5363218972343         -1892.607375661581        -5578.94267276366         -8332.927457188955        4408.165433549686         -4140.464790236612        -6184.10695941397         4250.680291810044         59.97246546059614         -89.97970587405143        1892.784669116852         5578.107193352247         -8332.437482789566        -4407.985041392836        4139.712298942846         -6183.509909611836        
-4286.766780558843        -96.24255557404831        -144.4679209935421        -1867.740985248107        -5585.617410865903        -8342.869833062927        4425.017906147579         -4122.018258417957        -6156.523337030027        4287.509287443419         96.06436939077685         -143.9044596151216        1867.924495257961         5584.752313795325         -8342.362045863178        -4424.831079616168        4121.240283145045         -6155.905546821683        
-4322.613251136689        -132.3157367990352        -198.3672514048521        -1842.843470251508        -5592.199989705987        -8352.674040076905        4441.748858957159         -4103.458903796913        -6128.77074800132         4323.380327511913         132.1347693905118         -197.797151511535         1843.033304375916         5591.304740872176         -8352.148092776537        -4441.555472203632        4102.655044655374         -6128.131859716756        
-4357.519264790637        -168.360117536271         -252.2234483866487        -1817.915307106756        -5598.69049371517         -8362.340203966043        4458.356978586206         -4084.786446726415        -6100.84877701613         4358.311209565421         168.1763937086798         -251.6469173120277        1818.111572895737         5597.764558125578         -8361.795747598604        -4458.156904562318        4083.9563050734           -6100.188432574068        
-4391.502309996358        -204.3688273978769        -306.026245883404         -1792.956969991516        -5605.089006062364        -8371.868448594963        4474.840935330547         -4066.000605640467        -6072.757005933585        4392.319419737003         204.1823712685145         -305.4434914200101        1793.159774985194         5604.131847837707         -8371.305132515554        -4474.634045738741        4065.14378408395          -6072.074846825883        
-4424.57955942869         -240.3353760954924        -359.7659457433037        -1767.968930866919        -5611.395608659077        -8381.258895964274        4491.199382876366         -4047.101097061182        -6044.495013794047        4425.422128350765         240.1462110620341         -359.1771761045675        1768.178382595594         5610.406691034441         -8380.676367837441        -4490.985548119876        4046.217199464154         -6043.790681070182        
-4456.767866944967        -276.2536338197533        -413.4333884006774        -1742.951659517697        -5617.610382163548        -8390.511666217208        4507.430957996185         -4028.087635606062        -6016.062376831134        4457.636186902455         276.0617825269583         -412.8388121803           1743.167865502197         5616.589167489554         -8389.90957200469         -4507.210047127737        4027.176267090894         -6015.335511082754        
-4488.083765786141        -312.1178125702427        -467.0199249786383        -1717.905623592014        -5623.733405985287        -8399.626877646049        4523.534280238106         -4008.95993399655         -5987.458668484847        4488.978126258575         311.9232968747965         -466.4197511070815        1718.128691344144         5622.679355729255         -8399.004861594382        -4523.306160907247        4008.020700949652         -5986.708909830224        
-4518.543467855721        -347.9224484016886        -520.5173907608842        -1692.831288640824        -5629.764758289035        -8408.604646698455        4539.507951608291         -3989.717703067465        -5958.683459416032        4519.464155934387         347.7252893344266         -519.9118284594442        1693.061325663977         5628.677333036321         -8407.962351326743        -4539.272490007279        3988.750213144114         -5957.910447484785        
-4548.16286395042         -383.6623845516006        -573.9180799807073        -1667.729118156873        -5635.704515999241        -8417.445087983913        4555.350556246354         -3970.360651777184        -5929.736317522649        4549.11016432388          383.4626022785669         -573.3073387135519        1667.966231946863         5634.583175453998         -8416.782154071174        -4555.107617054528        3969.364513906592         -5928.939691440348        
