Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   
-4133.615796835133        48.18628064729273         71.33377050826675         -1966.999656432396        -5558.345566082513        -8302.241541659954        4356.88155687468          -4195.110368522583        -6265.818491364393        
-4173.405108631399        12.07494588830741         17.37703457480529         -1942.229463816082        -5565.297284847591        -8312.599172925635        4374.090863276331         -4177.00058215746         -6238.739209456864        
-4212.180963593521        -24.03929833637085        -36.58394984900951        -1917.426703263525        -5572.156582755852        -8322.818245814589        4391.182493885557         -4158.778799498221        -6211.492188486271        
-4249.962053168652        -60.14784495078493        -90.5363218972343         -1892.591858235479        -5578.923548052786        -8332.898891715857        4408.155182503018         -4140.444746682188        -6184.077021673758        
-4286.766780558843        -96.24255557404831        -144.4679209935421        -1867.725409810781        -5585.598267707857        -8342.841240127396        4425.007647472507         -4121.998147912673        -6156.493299386842        
-4322.613251136689        -132.3157367990352        -198.3672514048521        -1842.827836728349        -5592.180827419565        -8352.645418662752        4441.738591401838         -4103.438725463231        -6128.740609146364        
-4357.519264790637        -168.360117536271         -252.2234483866487        -1817.899615428716        -5598.671311619633        -8362.311553058244        4458.346700877752         -4084.766199682606        -6100.818535634666        
-4391.502309996358        -204.3688273978769        -306.026245883404         -1792.941220095163        -5605.069803477731        -8371.839767179423        4474.830646174567         -4065.980289001018        -6072.726660704764        
-4424.57955942869         -240.3353760954924        -359.7659457433037        -1767.953122694322        -5611.376384906005        -8381.230183027859        4491.189080956639         -4047.080709936388        -6044.464563391084        
-4456.767866944967        -276.2536338197533        -413.4333884006774        -1742.93579301647         -5617.591136563453        -8390.482920747745        4507.42064197427          -4028.067177102203        -6016.031819921132        
-4488.083765786141        -312.1178125702427        -467.0199249786383        -1717.88969871524         -5623.714137859934        -8399.598098632268        4523.523948752889         -4008.939403215656        -5987.428003728652        
-4518.543467855721        -347.9224484016886        -520.5173907608842        -1692.815305347074        -5629.745466960943        -8408.575833129958        4539.49760327558          -3989.697099107492        -5958.652685468405        
-4548.16286395042         -383.6623845516006        -573.9180799807073        -1667.713076410117        -5635.685200791399        -8417.416238851118        4555.340189658498         -3970.339973731898        -5929.705433032097        
-4576.957524827303        -419.3327554143616        -627.2147218752652        -1642.583473382867        -5641.533415040001        -8426.119428573758        4571.050273819055         -3950.867734178202        -5900.585811566096        
-4604.942703004388        -454.92897132691          -680.4004579521425        -1617.426955762319        -5647.290184163197        -8434.68551324986         4586.626403136848         -3931.280085683276        -5871.293383490731        
-4632.133335200677        -490.4467041302123        -733.4688204158447        -1592.243981101725        -5652.955581389193        -8443.114602011308        4602.067106106915         -3911.576731645211        -5841.827708521334        
-4658.544045331684        -525.8818734728266        -786.4137117026839        -1567.035005048107        -5658.52967872197         -8451.406802175741        4617.370891985309         -3891.75737363816         -5812.188343690999        
-4684.189147984245        -561.2306338222697        -839.229385073646         -1541.80048137925         -5664.012546945072        -8459.562219252344        4632.53625042655          -3871.821711428289        -5782.374843375321        
-4709.082652302473        -596.4893621506053        -891.9104262149776        -1516.540862040449        -5669.404255625443        -8467.580956947582        4647.561651113079         -3851.769442991412        -5752.386759319052        
-4733.238266223678        -631.6546462630504        -944.4517357989098        -1491.256597180836        -5674.704873117153        -8475.463117170759        4662.445543376103         -3831.600264531502        -5722.223640664859        
-4756.669401009145        -666.7232737369486        -996.8485129577166        -1465.948135189436        -5679.914466565067        -8483.208800039545        4677.186355807949         -3811.313870501122        -5691.885033984261        
-4779.38917602085         -701.6922214424703        -1049.09623962536         -1440.615922730794        -5685.033101908572        -8490.818103885365        4691.782495865467         -3790.909953622962        -5661.370483310777        
