Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   Orbiter4.MoonInertial.X   Orbiter4.MoonInertial.Y   Orbiter4.MoonInertial.Z   Orbiter5.MoonInertial.X   Orbiter5.MoonInertial.Y   Orbiter5.MoonInertial.Z   Orbiter6.MoonInertial.X   Orbiter6.MoonInertial.Y   Orbiter6.MoonInertial.Z   Orbiter7.MoonInertial.X   Orbiter7.MoonInertial.Y   Orbiter7.MoonInertial.Z   Orbiter8.MoonInertial.X   Orbiter8.MoonInertial.Y   Orbiter8.MoonInertial.Z   
-3028.967430580626        784.125962494174          1170.980262327968         -5034.614349922907        -1190.786873760633        -1778.782437130547        880.4962266917428         -5770.713993661513        -8619.86459593472         1321.701016164458         1337.615101798554         1998.040531590552         4150.902966569411         -32.6656045964337         48.65163055120502         4786.025873416671         3654.934460011893         -5459.717768758972        -5218.720082832602        1914.225847798807         -2859.325742007903        1273.959018940193         -1346.216731069027        2010.902011104656         
-3094.596986922465        751.2008288647048         1121.782306190842         -5047.892608663402        -1223.96294426918         -1828.339877600578        906.2330233304383         -5767.629637175414        -8615.237843319017        1225.284501992108         1354.440420282015         2023.166884953331         4190.26855164906          3.451721706544049         -5.307055125857005        4772.419545356592         3676.137835630681         -5491.393361093127        -5215.310174847735        1884.002075755387         -2814.171510954126        1369.810280483784         -1328.824583848531        1984.91724272244          
-3158.807343317836        717.9312484895345         1072.069769981666         -5060.637099770727        -1257.009674932808        -1877.704040325858        931.9557433885202         -5764.455422031868        -8610.476301561401        1127.800175589291         1370.08557360078          2046.52980588263          4228.628764525536         39.56818483915413         -59.26456908299588        4758.657582140324         3697.221291875816         -5522.889876857604        -5211.517327552065        1853.640053244657         -2768.810587942862        1464.504298203348         -1310.309412503964        1957.25464367852          
-3221.614267026278        684.3427544314764         1021.880806537374         -5072.856729132443        -1289.926121441007        -1926.87351167138         957.6639691406453         -5761.191308732785        -8605.579911996727        1029.314495188097         1384.514496793214         2068.075402425369         4266.002176765163         75.67537752958015         -113.2083498620777        4744.74172297625          3718.185144088638         -5554.2077863944          -5207.335710087762        1823.13983665494          -2723.243058330205        1557.987585639261         -1290.710601777304        1927.973043892882         
-3283.034482900825        650.4597491182503         971.2518790563045         -5084.560207587871        -1322.711410352378        -1975.846983888478        983.3572818503744         -5757.837256634026        -8600.548614265019        929.8989510711835         1397.69296618324          2087.752534911968         4302.407067413631         111.7653510855162         -167.1265211746504        4730.673683122615         3739.029706095811         -5585.347557779663        -5202.759370556596        1792.501508227142         -2677.46904613552         1650.211843014054         -1270.068387986626        1897.132546948211         
-3343.085536906045        616.3055304197478         920.2178000977146         -5095.756055730497        -1355.364735417068        -2024.62324962049         1009.035261740035         -5754.393223942956        -8595.382346308237        829.6298887328594         1409.588890549843         2105.513251356955         4337.861414239189         147.8305921199499         -221.0078571272606        4716.455154348121         3759.755290175031         -5616.309656772937        -5197.782232904778        1761.72517750127          -2631.488716203487        1741.133889156044         -1248.423599496542        1864.794142356812         
-3401.785670590136        581.9023206633283         868.8117749678495         -5106.452608615058        -1387.885354090249        -2073.201196694456        1034.697487960337         -5750.859167716349        -8590.081044366932        728.5882691151201         1420.172597621859         2121.313215851638         4372.38288681928          183.8640003320761         -274.8417490237334        4702.087805381976         3780.362207023136         -5647.094546769222        -5192.398093722732        1730.810982839088         -2585.302276480099        1830.715552009118         -1225.817412764009        1831.019341044652         
-3459.153706053243        547.2712979524513         817.0654485434934         -5116.658020367278        -1420.272584226972        -2121.579803183326        1060.343538559857         -5747.235043857887        -8584.644642976928        626.8593654123688         1429.417110829323         2135.112122336344         4405.988841274841         219.8588673183694         -328.6181737058214        4687.573282353653         3800.850765725947         -5677.702688754274        -5186.600618957964        1699.759093027038         -2538.90998040908         1918.923523384437         -1202.291125803604        1795.86983682352          
-3515.208940905897        512.4326292264741         765.0089546949603         -5126.380268695299        -1452.525800948672        -2169.758132724382        1085.972990454276         -5743.520807116176        -8579.073074965854        524.5323973612103         1437.29841106449          2146.874085878488         4438.696316473302         255.8088563837809         -382.3276633886271        4672.913209222606         3821.221273729985         -5708.134541262349        -5180.383340539469        1668.569708964205         -2492.312129454775        2005.729183647694         -1177.885950355092        1759.407195783191         
-3569.971052678869        477.4055045705172         712.670967573591          -5135.62715930189         -1484.644433671201        -2217.735330079828        1111.585419395386         -5739.716411081899        -8573.366271449544        421.7001054357534         1443.795678151655         2156.568003501947         4470.522031537941         291.7079833227326         -435.9612769444648        4658.109188198272         3841.474036816275         -5738.390560336877        -5173.739652911652        1637.243065440038         -2445.509075759212        2091.108401918653         -1152.642823519825        1721.692574760353         
